Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),64/557,6.826670813900307e-36,1.1673607091769526e-33,0,0,9.540836072835791,772.5427369013428,GABRB3;EPHB6;CHRM3;SNAP25;CNTNAP2;GABRB1;TENM3;NRSN1;CPNE6;STMN2;STMN4;KNDC1;HTR2A;SLC6A1;CYP46A1;SLC8A2;ARHGAP44;CALB2;GRM3;NEFL;NEFM;BSN;RGS7;SLC32A1;SLC30A3;SYP;PDYN;GABRG2;SHTN1;OLFM1;MAP1A;IL1RAPL1;RGS7BP;ARHGEF7;SHANK3;STX1A;SHANK2;CAMK2B;RTN1;CAMK2A;ADCY2;RELN;MAP7;MAP4;NPTX1;GABRA2;SYT4;SLC12A5;SYT1;GABRA5;CCK;SEPTIN3;SEPTIN4;SYT7;GRIN1;NELL1;DLG2;NSG2;DLG4;CNTN2;RGS11;CPEB3;VIP;SCN2A
GO_Cellular_Component_2023,Dendrite (GO:0030425),26/270,3.708058078872406e-13,3.1703896574359067e-11,0,0,6.9248039914469,198.2093425731369,EPHB6;CHRM3;CNTNAP2;CPNE6;ADCY2;KNDC1;HTR2A;CYP46A1;SLC8A2;ARHGAP44;LAMP5;CALB2;RELN;BSN;GABRA2;SLC32A1;GABRA5;SEPTIN4;PDYN;GABRG2;GRIN1;NSG2;DLG4;MAP1A;IL1RAPL1;CPEB3
GO_Cellular_Component_2023,Axon (GO:0030424),21/205,2.2536277094282327e-11,1.2845677943740927e-09,0,0,7.317487843249428,179.39476209075548,SYT4;CNTNAP2;SYT1;CPNE6;CCK;SEPTIN4;SLC6A1;SYT7;SLC8A2;GRM3;SHTN1;OLFM1;NELL1;MAP1A;MAP7;NEFL;CNTN2;NEFM;MAP4;BSN;SCN2A
GO_Cellular_Component_2023,Exocytic Vesicle Membrane (GO:0099501),12/53,4.0683754021577036e-11,1.739230484422418e-09,0,0,18.35954180628068,439.2555676539936,GABRA2;SYNPR;UNC13C;SYT4;SYNGR1;SLC32A1;SV2B;SYT1;SLC17A7;SYP;SYN2;SYN1
GO_Cellular_Component_2023,Synaptic Vesicle Membrane (GO:0030672),12/54,5.155323989848527e-11,1.7631208045281962e-09,0,0,17.92149703331812,424.5316988890661,GABRA2;SYNPR;UNC13C;SYT4;SYNGR1;SLC32A1;SV2B;SYT1;SLC17A7;SYP;SYN2;SYN1
GO_Cellular_Component_2023,Dense Core Granule (GO:0031045),6/16,1.22750554456768e-07,3.498390802017888e-06,0,0,36.98746081504702,588.5855900239906,CHGA;SYT4;SYT1;NPY;MYRIP;PDYN
GO_Cellular_Component_2023,Postsynaptic Density (GO:0014069),13/151,1.1637266181707809e-06,2.842817881531479e-05,0,0,5.898852657004831,80.60123313152879,RTN1;GRIN2C;SLC8A2;GRIN1;ARHGAP44;DNM3;DLG2;NETO1;DLG4;SH2D5;SHANK3;CACNG3;SHANK2
GO_Cellular_Component_2023,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle (GO:0061200),4/7,2.305141773219779e-06,4.3797693691175805e-05,0,0,81.71131879543094,1060.6430185014526,SLC32A1;SYT1;GAD1;GAD2
GO_Cellular_Component_2023,Clathrin-Sculpted Gamma-Aminobutyric Acid Transport Vesicle Membrane (GO:0061202),4/7,2.305141773219779e-06,4.3797693691175805e-05,0,0,81.71131879543094,1060.6430185014526,SLC32A1;SYT1;GAD1;GAD2
GO_Cellular_Component_2023,Glutamatergic Synapse (GO:0098978),9/78,4.820117003317354e-06,8.242400075672676e-05,0,0,8.092735277930656,99.07703017811994,PTPRD;SH3GL3;SLITRK1;SLITRK4;IL1RAPL1;NPTX1;BSN;DLGAP2;SH3GL2
